,day,fitness,well,row,col
0,1,-0.04436164543022114,A1,A,1
1,2,0.0037652533665783385,A1,A,1
2,3,-0.016495769589786248,A1,A,1
3,4,-0.012574873255842339,A1,A,1
4,5,0.029517014065026177,A1,A,1
5,6,0.005061363405246169,A1,A,1
6,1,-0.029488522425909332,A10,A,10
7,2,-0.03224262858646367,A10,A,10
8,3,-0.019249085616750403,A10,A,10
9,4,-0.01143436698921886,A10,A,10
10,5,0.033876022432167995,A10,A,10
11,6,0.005974043247615886,A10,A,10
12,1,-0.04083817310453208,A11,A,11
13,2,-0.02650934816664591,A11,A,11
14,3,-0.020375827181847436,A11,A,11
15,4,-0.00440150885397301,A11,A,11
16,5,0.0029789225430369433,A11,A,11
17,6,0.004944981101533247,A11,A,11
18,1,-0.0026558438103286737,A12,A,12
19,2,-0.03910017152090245,A12,A,12
20,3,-0.0234610114548679,A12,A,12
21,4,-0.006429612200974618,A12,A,12
22,5,0.005707864507829958,A12,A,12
23,6,-0.026579540729448303,A12,A,12
24,1,-0.02933400481744267,A2,A,2
25,2,0.0021306645119639153,A2,A,2
26,3,-0.027884397510002736,A2,A,2
27,4,-0.014744841944352993,A2,A,2
28,5,0.024550382695314153,A2,A,2
29,6,0.03127719186336192,A2,A,2
30,1,-0.026327978706572733,A3,A,3
31,2,-0.022903677857426637,A3,A,3
32,3,-0.026170134492896263,A3,A,3
33,4,-0.009962820090158942,A3,A,3
34,5,0.0889653022609192,A3,A,3
35,6,-0.022667976938117864,A3,A,3
36,1,-0.040706978061321515,A4,A,4
37,2,-0.006790049518669579,A4,A,4
38,3,-0.04014864568177635,A4,A,4
39,4,-0.004096432943342308,A4,A,4
40,5,0.01443160129729879,A4,A,4
41,6,0.04207698915973337,A4,A,4
42,1,-0.04690438009093014,A5,A,5
43,2,-0.013636345274996416,A5,A,5
44,3,-0.04625634380752784,A5,A,5
45,4,0.005578787214537592,A5,A,5
46,5,0.007681760177712557,A5,A,5
47,6,0.00046660316629445797,A5,A,5
48,1,-0.04283662382250913,A6,A,6
49,2,-0.021652167810796635,A6,A,6
50,3,-0.028823972237153682,A6,A,6
51,4,-0.005383466165059402,A6,A,6
52,5,0.010158886453672519,A6,A,6
53,6,0.019396871394942054,A6,A,6
54,1,-0.04509016503957974,A7,A,7
55,2,-0.008175468901930561,A7,A,7
56,3,-0.03556180776530346,A7,A,7
57,4,-0.008544206075350447,A7,A,7
58,5,0.011202854059007568,A7,A,7
59,6,0.03481957306171989,A7,A,7
60,1,-0.029035404343098075,A8,A,8
61,2,-0.02753883820048089,A8,A,8
62,3,-0.03989016257456083,A8,A,8
63,4,-0.0005469913351885001,A8,A,8
64,5,0.013198989661350602,A8,A,8
65,6,0.007363486146106694,A8,A,8
66,1,-0.0412626884499267,A9,A,9
67,2,-0.019127891381648523,A9,A,9
68,3,-0.02087387903807349,A9,A,9
69,4,-0.006295364540963618,A9,A,9
70,5,0.12945791265028395,A9,A,9
71,6,-0.032475444988922804,A9,A,9
72,1,0.06103270036419571,C1,C,1
73,2,0.035130401767221583,C1,C,1
74,3,0.03134915840956625,C1,C,1
75,4,0.03401602157610219,C1,C,1
76,5,0.03387060218554718,C1,C,1
77,6,0.0246878219079981,C1,C,1
78,1,0.06038223051306813,C10,C,10
79,2,0.04115934963848876,C10,C,10
80,3,0.032133142272973446,C10,C,10
81,4,0.0351540286273443,C10,C,10
82,5,0.023490279615065748,C10,C,10
83,6,0.02152749096544317,C10,C,10
84,1,0.06062543878599111,C11,C,11
85,2,0.04165588559618991,C11,C,11
86,3,0.02383159302970954,C11,C,11
87,4,0.030393055462046847,C11,C,11
88,5,0.034013039167142295,C11,C,11
89,6,0.027710652562231763,C11,C,11
90,1,0.06632877760473271,C12,C,12
91,2,0.03824521715292316,C12,C,12
92,3,0.03265109150979272,C12,C,12
93,4,0.033303236127403095,C12,C,12
94,5,0.02652805220620331,C12,C,12
95,6,0.029479793419708477,C12,C,12
96,1,0.05798876466302164,C2,C,2
97,2,0.03805453623042715,C2,C,2
98,3,0.031083043067119374,C2,C,2
99,4,0.023709715492500727,C2,C,2
100,5,0.027846115589719167,C2,C,2
101,6,0.026102851897895137,C2,C,2
102,1,0.06342795461977697,C3,C,3
103,2,0.03085677384237103,C3,C,3
104,3,0.028405090228867506,C3,C,3
105,4,0.029338184637627517,C3,C,3
106,5,0.03547778886630102,C3,C,3
107,6,0.020994919620661835,C3,C,3
108,1,0.057846936617587594,C4,C,4
109,2,0.03861388427764902,C4,C,4
110,3,0.03118076560319456,C4,C,4
111,4,0.025434423225199013,C4,C,4
112,5,0.03479792405345638,C4,C,4
113,6,0.026748682216041826,C4,C,4
114,1,0.06266080286646139,C5,C,5
115,2,0.037600676310605596,C5,C,5
116,3,0.030943297729014344,C5,C,5
117,4,0.024501251920520387,C5,C,5
118,5,0.029034620849411913,C5,C,5
119,6,0.02456793333585777,C5,C,5
120,1,0.06133447914156736,C6,C,6
121,2,0.03866875905112892,C6,C,6
122,3,0.031285071868794694,C6,C,6
123,4,0.027476300577211888,C6,C,6
124,5,0.029825393624516108,C6,C,6
125,6,0.014166668483803916,C6,C,6
126,1,0.06084910853362075,C7,C,7
127,2,0.03320049843151992,C7,C,7
128,3,0.030715409559506225,C7,C,7
129,4,0.033955118475668206,C7,C,7
130,5,0.03012206454851536,C7,C,7
131,6,0.026569858767368847,C7,C,7
132,1,0.06356587555932354,C8,C,8
133,2,0.032453881853530785,C8,C,8
134,3,0.03137433582420286,C8,C,8
135,4,0.03077731632265847,C8,C,8
136,5,0.03282873734382115,C8,C,8
137,6,0.0207265697292236,C8,C,8
138,1,0.06592166193178059,C9,C,9
139,2,0.03336165217324749,C9,C,9
140,3,0.03181885395630459,C9,C,9
141,4,0.026239880889414483,C9,C,9
142,5,0.03738279237472012,C9,C,9
143,6,0.01678532132085776,C9,C,9
144,1,-0.014293617367995342,E1,E,1
145,2,-0.0034844596727589437,E1,E,1
146,3,-0.016721692732765057,E1,E,1
147,4,-0.02689022098064673,E1,E,1
148,5,0.03511363070026645,E1,E,1
149,6,-0.026190951145896015,E1,E,1
150,1,-0.02474159387604738,E10,E,10
151,2,-0.006719753890249569,E10,E,10
152,3,-0.007904157474166717,E10,E,10
153,4,-0.03315581513023544,E10,E,10
154,5,0.021701479731307365,E10,E,10
155,6,-0.04214823730813508,E10,E,10
156,1,-0.02823808468019439,E11,E,11
157,2,-0.006635234219093534,E11,E,11
158,3,-0.005781928559312591,E11,E,11
159,4,-0.031694211905474945,E11,E,11
160,5,0.014789313156322419,E11,E,11
161,6,-0.03921393838830588,E11,E,11
162,1,-0.030851165941745466,E12,E,12
163,2,-0.00254118938510333,E12,E,12
164,3,-0.011401691855690515,E12,E,12
165,4,-0.030080349417647964,E12,E,12
166,5,0.019495653303360033,E12,E,12
167,6,-0.033990684249787226,E12,E,12
168,1,-0.03652991798362343,E2,E,2
169,2,-0.013214327655037989,E2,E,2
170,3,-0.002118943815102661,E2,E,2
171,4,-0.02822334893855748,E2,E,2
172,5,0.0066024647610049125,E2,E,2
173,6,-0.03193745469625223,E2,E,2
174,1,-0.038028716965693134,E3,E,3
175,2,-0.0081663864081803,E3,E,3
176,3,-0.010773511049841535,E3,E,3
177,4,-0.03820565901445304,E3,E,3
178,5,0.005959363708177457,E3,E,3
179,6,-0.022733954230480725,E3,E,3
180,1,-0.04030008780679113,E4,E,4
181,2,0.0014350072631314273,E4,E,4
182,3,-0.01675067350678747,E4,E,4
183,4,-0.03723423539070671,E4,E,4
184,5,0.017201269516791906,E4,E,4
185,6,-0.01762194193585421,E4,E,4
186,1,-0.027141148077249964,E5,E,5
187,2,-0.01793585065193234,E5,E,5
188,3,-0.0006703428729084502,E5,E,5
189,4,-0.04183681770574192,E5,E,5
190,5,0.014969165665984632,E5,E,5
191,6,-0.024926347991578408,E5,E,5
192,1,-0.03613443561989914,E6,E,6
193,2,0.008100219299243866,E6,E,6
194,3,-0.00276509450649375,E6,E,6
195,4,-0.04890621443784563,E6,E,6
196,5,0.01742651884379989,E6,E,6
197,6,-0.021550608089953925,E6,E,6
198,1,-0.029869599744608132,E7,E,7
199,2,-0.0078591458211432,E7,E,7
200,3,-0.00874540212339987,E7,E,7
201,4,-0.032148958882389,E7,E,7
202,5,0.009471187300839751,E7,E,7
203,6,-0.02225127631057486,E7,E,7
204,1,-0.026130084431969593,E8,E,8
205,2,0.0019246968758632422,E8,E,8
206,3,-0.009446408493132396,E8,E,8
207,4,-0.034232647215796726,E8,E,8
208,5,0.01353586663100397,E8,E,8
209,6,-0.05355246596677489,E8,E,8
210,1,-0.028144649272358765,E9,E,9
211,2,0.004795301788357499,E9,E,9
212,3,-0.009578090627812062,E9,E,9
213,4,-0.04274815164892068,E9,E,9
214,5,0.018288806976976314,E9,E,9
215,6,-0.04627606969392404,E9,E,9
216,1,0.07994896225086838,G1,G,1
217,2,0.08307159247312715,G1,G,1
218,3,0.07130029960226286,G1,G,1
219,4,0.0617858930689928,G1,G,1
220,5,0.0693695747817719,G1,G,1
221,6,0.04938447154447613,G1,G,1
222,1,0.07927871832232301,G10,G,10
223,2,0.07292506940840138,G10,G,10
224,3,0.056275833335989046,G10,G,10
225,4,0.06043720924374489,G10,G,10
226,5,0.05697837822781858,G10,G,10
227,6,0.06692606981986336,G10,G,10
228,1,0.07719680880010553,G11,G,11
229,2,0.07366493507725057,G11,G,11
230,3,0.06326084072466538,G11,G,11
231,4,0.056401917623570205,G11,G,11
232,5,0.05605203547187622,G11,G,11
233,6,0.05522258231347708,G11,G,11
234,1,0.08156182079202846,G12,G,12
235,2,0.07042921388276929,G12,G,12
236,3,0.07371719837011093,G12,G,12
237,4,0.06170315863457161,G12,G,12
238,5,0.06622198504998628,G12,G,12
239,6,0.06763924482367957,G12,G,12
240,1,0.07885504992289644,G2,G,2
241,2,0.0764234912075495,G2,G,2
242,3,0.05303049710778281,G2,G,2
243,4,0.0527934909630564,G2,G,2
244,5,0.06143912791629624,G2,G,2
245,6,0.05628116305095299,G2,G,2
246,1,0.07466107091678627,G3,G,3
247,2,0.07954781887827098,G3,G,3
248,3,0.0693722054569133,G3,G,3
249,4,0.05780010966349969,G3,G,3
250,5,0.0595009383430417,G3,G,3
251,6,0.059861277598632044,G3,G,3
252,1,0.076298863621219,G4,G,4
253,2,0.07504994112308273,G4,G,4
254,3,0.06439292429648366,G4,G,4
255,4,0.051812713014955256,G4,G,4
256,5,0.06461313487106898,G4,G,4
257,6,0.0575714787071596,G4,G,4
258,1,0.07529634133153827,G5,G,5
259,2,0.07591766231725042,G5,G,5
260,3,0.06713207232519805,G5,G,5
261,4,0.05548851985326542,G5,G,5
262,5,0.05988461338990993,G5,G,5
263,6,0.05836963881742973,G5,G,5
264,1,0.07436957506996758,G6,G,6
265,2,0.07365612636588609,G6,G,6
266,3,0.0628226207238757,G6,G,6
267,4,0.05040877245034226,G6,G,6
268,5,0.059862815280271396,G6,G,6
269,6,0.05714206424694164,G6,G,6
270,1,0.07766304219148047,G7,G,7
271,2,0.06979669380452248,G7,G,7
272,3,0.03896789893215013,G7,G,7
273,4,0.06325567549609946,G7,G,7
274,5,0.0627516507918664,G7,G,7
275,6,0.057972846595037895,G7,G,7
276,1,0.07408431137644314,G8,G,8
277,2,0.07491787071776193,G8,G,8
278,3,0.0602835103330568,G8,G,8
279,4,0.047603111269979924,G8,G,8
280,5,0.05842045617178093,G8,G,8
281,6,0.06229531562131723,G8,G,8
282,1,0.0767171794043833,G9,G,9
283,2,0.07534873661552025,G9,G,9
284,3,0.06555346053476828,G9,G,9
285,4,0.05230173294155235,G9,G,9
286,5,0.06358523313468044,G9,G,9
287,6,0.06384450196212818,G9,G,9
