,time point,time,well,S freq,lambda,total count,yfp mean,bfp mean,dilution
0,0,0.0,0,0.057570336252834434,1.7968435514322147,13386,7551.67333984375,8913.380859375,0.05
1,0,0.0,1,0.057570336252834434,1.7968435514322147,13386,7551.67333984375,8913.380859375,0.05
2,0,0.0,2,0.057570336252834434,1.7968435514322147,13386,7551.67333984375,8913.380859375,0.05
3,0,0.0,3,0.057570336252834434,1.7968435514322147,13386,7551.67333984375,8913.380859375,0.05
4,0,0.0,4,0.057570336252834434,1.7968435514322147,13386,7551.67333984375,8913.380859375,0.05
5,1,0.7999999999999998,0,0.04728753934839894,0.11461935943434322,1162,7781.40380859375,8946.6513671875,1.0
6,1,0.7999999999999998,1,0.048325590468257414,0.15924553251543896,1229,7763.015625,8965.3623046875,1.0
7,1,0.7999999999999998,2,0.05465674798660239,0.11491470507820827,1179,7744.14501953125,8976.861328125,1.0
8,1,0.7999999999999998,3,0.05162277889122799,0.1553440039234809,1315,7753.2763671875,8823.0849609375,1.0
9,1,0.7999999999999998,4,0.039947339911543485,0.15377906331976754,1187,7740.51953125,8876.2451171875,1.0
10,2,1.333333333333333,0,0.07943588615404737,0.047237461558292074,1158,7909.9521484375,8966.4716796875,1.0
11,2,1.333333333333333,1,0.08939202808457752,0.010508859257931364,1169,7909.4267578125,8927.1142578125,1.0
12,2,1.333333333333333,2,0.10507025484915462,0.051031979974595895,1042,7930.2275390625,8951.4921875,1.0
13,2,1.333333333333333,3,0.0807309965666531,0.06945896331549284,1164,7911.91015625,8892.142578125,1.0
14,2,1.333333333333333,4,0.07681603155533295,0.0932366805678639,1210,7919.39453125,8959.8134765625,1.0
15,3,1.916666666666666,0,0.11174193647766668,0.05029218634329715,1803,7851.322265625,8754.890625,1.0
16,3,1.916666666666666,1,0.0956436536151808,0.06014672455526449,1730,7883.56591796875,8769.5810546875,1.0
17,3,1.916666666666666,2,0.1132947234634421,0.10932826019811669,1548,7815.41845703125,8727.08984375,1.0
18,3,1.916666666666666,3,0.12469402344655528,0.0672227787757515,1363,7836.41064453125,8755.8564453125,1.0
19,3,1.916666666666666,4,0.10862264576664833,0.10752792667989947,1633,7823.3662109375,8734.75390625,1.0
20,4,2.5500000000000007,0,0.10608087333708616,0.11493786767422554,2661,7743.03466796875,8568.6787109375,1.0
21,4,2.5500000000000007,1,0.13463375902792352,0.07845272016458008,1860,7740.7470703125,8545.037109375,1.0
22,4,2.5500000000000007,2,0.11154622429753465,0.0674689416673803,2393,7725.52392578125,8544.2578125,1.0
23,4,2.5500000000000007,3,0.11540886851368265,0.08863383644550392,2542,7790.9306640625,8557.8876953125,1.0
24,4,2.5500000000000007,4,0.12449783380532974,0.08144928757256449,1915,7720.00830078125,8543.146484375,1.0
25,5,3.3166666666666664,0,0.07712168085324558,0.21099660944950568,5928,7670.775390625,8375.73046875,1.0
26,5,3.3166666666666664,1,0.07451049955744839,0.25643530931054115,5940,7695.2041015625,8389.615234375,1.0
27,5,3.3166666666666664,2,0.08162761069322513,0.17515280159990404,4799,7669.61376953125,8394.603515625,1.0
28,5,3.3166666666666664,3,0.07707773893973345,0.25568859700843616,5665,7646.37890625,8375.42578125,1.0
29,5,3.3166666666666664,4,0.08265127233890628,0.23696862326829535,5178,7650.12158203125,8377.3330078125,1.0
30,6,4.016666666666666,0,0.05436355838361092,0.13727433272358275,3968,7574.75634765625,8324.5146484375,3.0
31,6,4.016666666666666,1,0.051070141654595634,0.17084387012450944,5315,7596.21044921875,8328.1103515625,3.0
32,6,4.016666666666666,2,0.056057016325812566,0.21348323737279276,4250,7582.2353515625,8331.673828125,3.0
33,6,4.016666666666666,3,0.06013273881948088,0.17409843979061407,4879,7629.564453125,8324.7373046875,3.0
34,6,4.016666666666666,4,0.061914829588254276,0.19653275015831928,5783,7639.97705078125,8358.1484375,3.0
35,7,4.65,0,0.05856157910257092,0.3556566669083695,8828,7622.6767578125,8307.275390625,3.0
36,7,4.65,1,0.05642102851785744,0.29670015421927365,6650,7589.5908203125,8275.23828125,3.0
37,7,4.65,2,0.04425144399762489,0.37544486919289694,7561,7548.6494140625,8280.603515625,3.0
38,7,4.65,3,0.04837015145466292,0.3023045913183753,7117,7544.244140625,8275.0517578125,3.0
39,7,4.65,4,0.05761394301342663,0.2854349737504954,6455,7581.806640625,8277.2724609375,3.0
40,9,5.866666666666667,0,0.03460370599302655,0.7530011920037586,13617,7310.173828125,9058.1103515625,5.0
41,9,5.866666666666667,1,0.032005214180423326,0.7663196961952087,15355,7285.8701171875,9045.7880859375,5.0
42,9,5.866666666666667,2,0.0354741717418064,0.8483112586539143,13947,7291.40576171875,9056.837890625,5.0
43,9,5.866666666666667,3,0.03412119417927701,0.7576012319957832,14842,7425.302734375,9061.4287109375,5.0
44,9,5.866666666666667,4,0.03204805989653975,0.763027492241065,14428,7335.21826171875,9055.630859375,5.0
45,10,6.699999999999999,0,0.04503168043456082,0.9091173877750124,14648,7417.84228515625,9089.806640625,5.0
46,10,6.699999999999999,1,0.04135954163532596,0.9059705966503617,13901,7414.01025390625,9077.5302734375,5.0
47,10,6.699999999999999,2,0.04400270930702292,0.8704862450737283,14895,7407.4326171875,9080.25,5.0
48,10,6.699999999999999,3,0.04441347017742972,0.9384947327387656,14405,7486.6162109375,9099.953125,5.0
49,10,6.699999999999999,4,0.04144607757022651,0.8927338078832675,14191,7468.6943359375,9091.2060546875,5.0
50,11,7.4,0,0.04795359885722987,0.8871864825541509,14164,7394.509765625,9112.3759765625,5.0
51,11,7.4,1,0.04914935453286222,1.0627152361832948,14378,7456.1943359375,9127.7138671875,5.0
52,11,7.4,2,0.04704970844433547,0.9120249757733926,14301,7388.98828125,9108.865234375,5.0
53,11,7.4,3,0.046191794365602085,0.957296248739835,13274,7487.7236328125,9125.166015625,5.0
54,11,7.4,4,0.047292044313060576,0.9540094831446907,14076,7531.072265625,9136.9462890625,5.0
55,12,8.1,0,0.05064465009150066,1.0589083939675041,13810,7451.65576171875,9139.5390625,5.0
56,12,8.1,1,0.049562981676034186,1.2139480183371505,14579,7438.443359375,9132.798828125,5.0
57,12,8.1,2,0.0547172873361353,1.0855976695183482,14068,7473.166015625,9151.7587890625,5.0
58,12,8.1,3,0.050356591470949265,0.9910570228159504,14467,7529.27783203125,9154.3427734375,5.0
59,12,8.1,4,0.048245860754345817,1.1154490867452238,14986,7582.951171875,9170.9873046875,5.0
